PhraseId,Sentiment
156061,3
156062,3
156063,2
156064,3
156065,3
156066,1
156067,3
156068,2
156069,3
156070,1
156071,2
156072,2
156073,2
156074,1
156075,3
156076,3
156077,2
156078,3
156079,3
156080,2
156081,2
156082,2
156083,3
156084,3
156085,2
156086,3
156087,2
156088,3
156089,3
156090,1
156091,3
156092,3
156093,3
156094,2
156095,2
156096,2
156097,3
156098,3
156099,3
156100,3
156101,2
156102,3
156103,3
156104,3
156105,2
156106,3
156107,3
156108,4
156109,3
156110,3
156111,3
156112,2
156113,3
156114,2
156115,3
156116,2
156117,2
156118,2
156119,3
156120,2
156121,3
156122,3
156123,3
156124,2
156125,3
156126,2
156127,2
156128,3
156129,2
156130,3
156131,1
156132,3
156133,2
156134,2
156135,2
156136,3
156137,3
156138,3
156139,2
156140,2
156141,2
156142,2
156143,2
156144,2
156145,2
156146,2
156147,3
156148,3
156149,3
156150,3
156151,3
156152,2
156153,2
156154,3
156155,3
156156,2
156157,3
156158,3
156159,3
156160,1
156161,4
156162,2
156163,4
156164,2
156165,3
156166,3
156167,3
156168,3
156169,2
156170,2
156171,3
156172,3
156173,2
156174,2
156175,2
156176,2
156177,2
156178,3
156179,3
156180,3
156181,3
156182,1
156183,3
156184,3
156185,3
156186,3
156187,3
156188,3
156189,2
156190,3
156191,3
156192,2
156193,2
156194,3
156195,1
156196,2
156197,2
156198,2
156199,2
156200,2
156201,3
156202,1
156203,3
156204,2
156205,3
156206,2
156207,3
156208,2
156209,3
156210,3
156211,2
156212,3
156213,2
156214,2
156215,2
156216,3
156217,2
156218,3
156219,3
156220,2
156221,3
156222,3
156223,3
156224,3
156225,1
156226,1
156227,2
156228,1
156229,1
156230,3
156231,2
156232,2
156233,2
156234,2
156235,2
156236,3
156237,2
156238,3
156239,2
156240,3
156241,2
156242,2
156243,3
156244,3
156245,3
156246,2
156247,3
156248,3
156249,2
156250,3
156251,2
156252,3
156253,3
156254,3
156255,3
156256,3
156257,3
156258,2
156259,3
156260,3
156261,1
156262,2
156263,3
156264,2
156265,2
156266,2
156267,3
156268,2
156269,3
156270,2
156271,2
156272,3
156273,1
156274,3
156275,3
156276,3
156277,3
156278,3
156279,3
156280,3
156281,3
156282,1
156283,1
156284,3
156285,3
156286,3
156287,2
156288,2
